tiempo,valor
2023-08-15 15:44:16.536378,0.0
2023-08-15 15:44:17.514783,0.0
2023-08-15 15:44:18.510872,0.0
2023-08-15 15:44:19.511927,0.0
2023-08-15 15:44:20.512400,0.0
2023-08-15 15:44:21.513939,0.0
2023-08-15 15:44:22.511545,0.0
2023-08-15 15:44:23.510905,0.0
2023-08-15 15:44:24.514173,0.0
2023-08-15 15:44:25.514045,0.0
2023-08-15 15:44:26.519838,0.0
2023-08-15 15:44:27.514055,0.0
2023-08-15 15:44:28.512246,0.0
2023-08-15 15:44:29.512325,0.0
2023-08-15 15:44:30.512382,0.0
2023-08-15 15:44:31.511827,0.0
2023-08-15 15:44:32.511414,0.0
2023-08-15 15:44:33.511323,0.0
2023-08-15 15:44:34.511947,0.0
2023-08-15 15:44:35.511544,0.0
2023-08-15 15:44:36.511771,0.0
2023-08-15 15:44:37.515194,0.0
2023-08-15 15:44:38.511510,0.0
2023-08-15 15:44:39.512316,0.0
2023-08-15 15:44:40.511851,0.0
2023-08-15 15:44:41.512854,0.0
2023-08-15 15:44:42.516760,0.0
2023-08-15 15:44:43.514773,0.0
2023-08-15 15:44:44.512110,0.0
2023-08-15 15:44:45.511779,0.0
2023-08-15 15:44:46.511558,0.0
2023-08-15 15:44:47.512673,0.0
2023-08-15 15:44:48.512155,0.0
2023-08-15 15:44:49.515894,0.0
2023-08-15 15:44:50.511099,0.0
2023-08-15 15:44:51.518570,0.0
2023-08-15 15:44:52.512198,0.0
2023-08-15 15:44:53.516970,6.0
2023-08-15 15:44:54.512722,11.0
2023-08-15 15:44:55.510884,10.0
2023-08-15 15:44:56.515871,0.0
2023-08-15 15:44:57.516509,0.0
2023-08-15 15:44:58.512790,0.0
2023-08-15 15:44:59.511407,0.0
2023-08-15 15:45:00.513981,0.0
2023-08-15 15:45:01.511909,0.0
2023-08-15 15:45:02.511150,0.0
2023-08-15 15:45:03.511634,0.0
2023-08-15 15:45:04.512440,0.0
2023-08-15 15:45:05.514229,0.0
2023-08-15 15:45:06.511963,0.0
2023-08-15 15:45:07.518155,0.0
2023-08-15 15:45:08.511391,0.0
2023-08-15 15:45:09.511700,0.0
2023-08-15 15:45:10.512726,0.0
2023-08-15 15:45:11.515475,0.0
2023-08-15 15:45:12.519232,0.0
2023-08-15 15:45:13.512051,0.0
2023-08-15 15:45:14.514040,0.0
2023-08-15 15:45:15.514327,0.0
2023-08-15 15:45:16.515083,0.0
2023-08-15 15:45:17.512527,0.0
2023-08-15 15:45:18.521979,0.0
2023-08-15 15:45:19.514547,0.0
2023-08-15 15:45:20.512842,0.0
2023-08-15 15:45:21.517173,0.0
2023-08-15 15:45:22.520876,0.0
2023-08-15 15:45:23.511735,0.0
2023-08-15 15:45:24.512407,0.0
2023-08-15 15:45:25.515092,0.0
2023-08-15 15:45:26.512959,0.0
2023-08-15 15:45:27.515282,0.0
2023-08-15 15:45:28.518739,0.0
2023-08-15 15:45:29.511413,0.0
2023-08-15 15:45:30.515633,0.0
2023-08-15 15:45:31.512949,0.0
2023-08-15 15:45:32.512292,0.0
2023-08-15 15:45:33.512491,0.0
2023-08-15 15:45:34.520372,28.0
2023-08-15 15:45:35.513338,0.0
2023-08-15 15:45:36.512577,0.0
2023-08-15 15:45:37.514978,0.0
2023-08-15 15:45:38.512522,3.0
2023-08-15 15:45:39.512679,0.0
2023-08-15 15:45:40.512891,3.0
2023-08-15 15:45:41.511343,2.0
2023-08-15 15:45:42.512244,1.0
2023-08-15 15:45:43.512899,0.0
2023-08-15 15:45:44.511225,0.0
2023-08-15 15:45:45.511407,0.0
2023-08-15 15:45:46.511523,0.0
2023-08-15 15:45:47.511760,0.0
2023-08-15 15:45:48.511607,0.0
2023-08-15 15:45:49.513099,0.0
2023-08-15 15:45:50.516461,0.0
2023-08-15 15:45:51.513760,0.0
2023-08-15 15:45:52.515133,0.0
2023-08-15 15:45:53.514760,0.0
2023-08-15 15:45:54.517529,0.0
2023-08-15 15:45:55.511397,0.0
2023-08-15 15:45:56.515678,0.0
2023-08-15 15:45:57.512646,0.0
2023-08-15 15:45:58.512655,0.0
2023-08-15 15:45:59.516920,0.0
2023-08-15 15:46:00.515511,0.0
2023-08-15 15:46:01.511852,0.0
2023-08-15 15:46:02.516849,0.0
2023-08-15 15:46:03.511419,0.0
2023-08-15 15:46:04.511442,0.0
2023-08-15 15:46:05.512774,0.0
2023-08-15 15:46:06.512958,0.0
2023-08-15 15:46:07.511707,0.0
2023-08-15 15:46:08.513861,0.0
2023-08-15 15:46:09.513481,0.0
2023-08-15 15:46:10.516067,0.0
2023-08-15 15:46:11.514581,0.0
2023-08-15 15:46:12.515007,0.0
2023-08-15 15:46:13.512308,0.0
2023-08-15 15:46:14.512150,0.0
2023-08-15 15:46:15.511780,0.0
